Section Name,Item Name,Comment Name,Comment Text,"Comment Type (info, limit, defect)","Category (-1: Low, 0: Med, 1: High)",Multiple Choice Options (comma-separated),"Unit Type Options (numeric answers only, comma-separated)",Recommendation (from list),Order (w/i item),"Answer Type (boolean, checkbox, date, number, range, text)",Default Value,"Default Value 2 (for ""range"" types)","Default Unit Type (for ""number"" and ""range"" types)",Default Location,Default Estimate Min,Default Estimate Max,Locked,Simple Format,Disable Photos,Uses,Default Photo 1,Default Photo 1 Caption,Default Photo 2,Default Photo 2 Caption,Default Photo 3,Default Photo 3 Caption,Default Photo 4,Default Photo 4 Caption,Default Photo 5,Default Photo 5 Caption,Default Photo 6,Default Photo 6 Caption,Default Photo 7,Default Photo 7 Caption,Default Photo 8,Default Photo 8 Caption,Default Photo 9,Default Photo 9 Caption,Default Photo 10,Default Photo 10 Caption,Last Modified
Attic,Attic Conditions,"Attic floor: chimney penetration, no firestop",Where the chimney penetrated the attic floor the gap between chimney and drywall had no firestop installed. A firestop should be installed by a qualified contractor for fire safety reasons.,defect,0,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic inspection method,,info,,"Direct entry, From the hatch, Via camera only, Limited headroom, Belongings blocked view, Belongings blocked access",,pro,1,checkbox,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Access,Attic storage limited access,The occupant's belongings were stored in the attic in a manner that blocked access to- and view of- portions of the attic. You should have these portions of the attic inspected after access is provided by removal of the items blocking access.,limit,,,,pro,12,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Pests,"Bats encountered, attic not inspected","The Inspector found bats in the attic. Bats can transmit rabies. A qualified wildlife control contractor should remove all bats and seal all  points of bat entry. The attic was not inspected, but should be inspected after all bats have been removed.",limit,,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:35
Attic,Attic Pests,Bats: roosting (visible guano),"Bat guano (feces) accumulated near the home indicates that bats may be roosting in the attic. Bats can transmit rabies and may require a specialist to locate. An inspection should be performed by a qualified wildlife control contractor. Any bats should be removed, and access points should be sealed.",defect,1,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:35
Attic,Attic Pests,Birds: nesting activity,"Signs of bird nesting activity was visible in the attic. After removal of all birds from the attic, sources of entry be identified and blocked. All work should be performed by a qualified pest control contractor.",defect,0,,,pro,1,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:35
Attic,Chimney,"Chimney: abandoned, partial removal, unstable",Lower portions of a chimney had been removed. The upper portion that penetrated the roof remained in place and appeared to be poorly supported. This condition is a potential safety hazard. The chimney should be stabilized or removed by a qualified contractor.,defect,1,,,pro,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:35
Attic,Chimney,"Chimney: abandoned, stable",The chimney was not continuous; sections had been removed and the upper portion that penetrated the roof was abandoned and remained in place. The remaining sections appeared to be stable.,defect,-1,,,pro,1,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:35
Attic,Thermal Insulation,"Depth: 12-14""","Attic floor insulation depth averages 12 to 14 inches. To maximize savings on heating and cooling costs, insulation levels should comply with local energy codes.",defect,-1,,,pro,1,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,"Depth: 14-16""","Attic floor insulation depth averages 14 to 16 inches. To maximize savings on heating and cooling costs, insulation levels should comply with local energy codes.",defect,-1,,,pro,2,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,"Depth: 3-4""- add",Attic floor insulation depth averages 3 to 4 inches. Install additional insulation to comply with local energy codes.,defect,0,,,insulation,3,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,"Depth: 4-6""- add",Attic floor insulation depth averages 4 to 6 inches. Install additional insulation to comply with local energy codes.,defect,0,,,insulation,4,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,"Depth: 6-8""- add",Attic floor insulation depth averages 6 to 8 inches. Install additional insulation to comply with local energy codes.,defect,0,,,insulation,5,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,"Attic Electrical, Plumbing and HVAC",Electrical: energized knob and tube,"Energized knob and tube wiring visible in the attic was commonly installed prior to 1950. It is ungrounded, outdated by modern standards, and can be a potential fire hazard if not maintained adequately. To ensure that safe conditions exist, all knob and tube wiring should be inspected by a qualified electrical contractor.",defect,0,,,electrician,0,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","Electrical: light, none",The attic space was not provided with a light.,defect,-1,,,electrician,1,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Electrical: non IC-rated lights contact insulation,One or more non Insulation Contact (IC)-rated recessed lighting fixture in the attic was in contact with thermal insulation. This condition is a potential fire hazard. Recessed lighting fixtures in contact with thermal insulation must be IC-rated. An adequate amount of insulation surrounding the fixture should be removed to comply with the installation requirements specified by the fixture manufacturer.,defect,0,,,electrician,2,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Electrical: splices not contained,Energized electrical splices not contained within a junction box and exposed to touch were visible in the attic. Electrical splices should be contained within an approved junction box with a cover plate installed. This condition is a shock/electrocution and potential fire hazard and should be corrected by a qualified electrical contractor.,defect,1,,,electrician,3,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","Electrical: wires improperly terminated, off","Improperly terminated electrical wires were visible in the attic. Wires should terminate in an approved junction box with a listed cover plate installed. Although they were not energized at the time of the inspection, if they are controlled by a switch, they may have the potential to become energized, which would be a shock/electrocution hazard or potential fire danger. These wires should be examined and terminated correctly by a qualified electrical contractor.",defect,0,,,electrician,4,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","Electrical: wires improperly terminated, on","In the attic, energized electrical wires were improperly terminated.  This condition is a shock/electrocution and potential fire hazard. All such electrical wires should be terminated inside an approved enclosure with a listed cover by a qualified electrical contractor.",defect,1,,,electrician,5,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Electrical: wires poorly supported,Electrical wires in the attic were poorly-supported. This indicates that wiring may have been installed by persons not qualified to perform the work. Non-workmanlike electrical work may contain hazardous defects. A full electrical inspection lies beyond the scope of the General Home Inspection. You should ask the seller about this condition and consider evaluation by a qualified electrical contractor to ensure that safe conditions exist.,defect,0,,,electrician,6,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Electrical: wires unprotected near hatch,Unprotected electrical wires were installed across the tops of floor joists located within 6 feet of the attic access. These wires are subject to damage from persons entering and exiting the attic. Substantial guard strips as least as high as the wires should be installed to protect any wires within 6 feet of the attic access hatch.,defect,0,,,electrician,7,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Electrical: wiring non-workmanlike,Wiring visible in the attic appeared to have been installed by persons unfamiliar with proper building practices. Improper wiring is a potential shock/electrocution or fire hazard. An evaluation and any necessary corrections should be performed by a qualified electrical contractor.,defect,0,,,electrician,8,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,Thermal Insulation,"Facing wrong direction, discoloration",Insulation installed in the attic had paper or foil backing facing the wrong direction. Thermal insulation should always be installed with the paper or foil backing oriented toward the source of heat. Reversal (backing on the cold side) can result in problems from the formation of excessive condensation. Discoloration visible in the attic appeared to be related to this condition. Excessively high moisture levels can lead to the development of unhealthy conditions such as mold growth. This condition should be corrected by a qualified contractor.,defect,0,,,insulation,6,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,"Facing wrong direction, OK",Insulation installed in the attic had paper or foil backing facing the wrong direction. Thermal insulation should always be installed with the paper or foil backing toward the source of heat. Reversal (backing on the cold side) may result in problems from the formation of excessive condensation. The Inspector did not observe any problems which in the inspector's experience would be directly related to this condition.,defect,-1,,,pro,7,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Conditions,Fire: charring,"Framing visible in the attic had charring indicating that the attic structure had experienced a fire. Have the affected framing members evaluated by a qualified contractor to determine the extent of the fire damage, assess the residual strength of framing members, and to discuss options and costs for any necessary repairs.",defect,1,,,carpenter,1,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Conditions,Fire: charring- SE,"Framing in the attic was charred, indicating that the attic structure had experienced a fire. You should have the affected framing members evaluated by a structural engineer to determine whether they retain sufficient residual strength. Depending upon the engineers findings you may need to consult with a qualified contractor to discuss options and costs for any necessary repairs.",defect,1,,,structural,4,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Conditions,"Fire: charring, odor- SE",Attic roof framing exhibited some charring and odor indicating that the attic had experienced a fire. Have the affected framing evaluated by a structural engineer to determine whether it retains sufficient residual strength. Depending upon the engineer's findings you may need to consult with a qualified contractor to discuss options and costs for any necessary repairs. Odor can sometimes be removed by blasting with sodium bicarbonate (baking soda).,defect,1,,,structural,2,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Conditions,"Fire: charring, paint- SE",Attic roof framing exhibited some charring indicating that the attic had experienced a fire. The affected framing had been painted. You should have the affected framing members evaluated by a qualified contractor to determine the extent of the fire damage and to discuss options and costs for any necessary repairs.,defect,1,,,structural,3,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Attic Conditions,"Fire: charring, structure OK",Framing visible in the attic had charring indicating that the attic structure had experienced a fire. Charring appeared to be minimal and the structure appeared to be sound. A more specific evaluation would require the services of a structural engineer.,defect,-1,,,pro,5,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,Gaps in insulation,Thermal insulation in the attic was poorly-installed and had significant gaps that will result in unwanted heat gain or loss. This condition will increase heating and cooling costs and reduce comfort levels and may contribute to ice damming of the roof during the winter. Insulation should be properly distributed to cover all portions of the attic located above the home living space.,defect,0,,,insulation,8,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC ducts: asbestos, possible","Materials insulating ducts in the attic may contain asbestos. Asbestos is a know carcinogen and inhalation of asbestos fibers can cause asbestosis. Asbestos is only a hazard when it is in a condition in which it may be inhaled, such as when it is cut. Asbestos can only be identified through laboratory testing. Removal may be relatively expensive and if its presence is confirmed, you will have to disclose that when you sell. The Inspector disclaims responsibility for identifying any asbestos materials. Consider evaluation by a qualified specialist.",defect,0,,,pro,9,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: damaged,Ducts in the attic were visibly damaged and should be repaired/replaced by a qualified HVAC contractor.,defect,0,,,hvac,10,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: disconnected,Disconnected ducts were visible in the attic. The ducts should be reconnected by a qualified HVAC contractor to save on energy costs.,defect,0,,,hvac,11,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: disconnected combustion vent,"A combustion vent visible in the attic was disconnected, the toxic products of combustion were leaking into the surrounding space, and may find their way into the living space. This dangerous condition should be corrected immediately by a qualified HVAC contractor.",defect,1,,,hvac,12,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC ducts: disconnected, freeze protection","Ducts in the attic appeared to have been intentionally disconnected to help prevent water distribution pipes in the attic from freezing. Consult with a qualified HVAC contractor to discuss options and costs for a more efficient, dependable method for protecting pipes.",defect,-1,,,heating/cooling,13,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: duct insulation missing in areas,Ducts were missing insulation in areas. Missing insulation should be installed/replaced to save on energy costs.,defect,-1,,,pro,14,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: duct insulation torn,Ducts in the attic had torn insulation that should be repaired to save on energy costs. ,defect,0,,,hvac,16,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC ducts: duct insulation, none installed","Ducts in the attic lacked insulation. Before reaching room registers, air moving through ducts installed in unheated spaces can lose up to 40% of its heat during cold weather. Consider insulating the ducts to reduce heating and cooling costs.",defect,0,,,hvac,15,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC ducts: insulation, none installed, old",Ducts in the unheated attic were old and un-insulated. Consider insulating the ducts to reduce heating and cooling costs.,defect,-1,,,pro,17,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: leaking air,Ducts in the attic were leaking air. This condition should be corrected by a qualified HVAC contractor to save on energy costs.,defect,0,,,hvac,18,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: loose joints,Ducts in the attic were loose in areas. Loose joints should be secured and sealed by a qualified HVAC contractor.,defect,0,,,hvac,19,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC ducts: old, undersized (modern stds)",Ducts in the attic were old and undersized by modern standards. Consider replacement for more effective heating or cooling.,defect,-1,,,pro,20,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: seal against air leakage,Ducts in that attic had unsealed joints that will leak some air. Consider having all duct joints by a qualified HVAC contractor to save on energy costs.,defect,0,,,hvac,21,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC ducts: unconventional materials, disclaimer",Non-typical materials used as attic HVAC ducts indicate that work was performed by non-professionals. Such work may contain hazardous materials or defects not readily visible or requiring special expertise to identify. The Inspector disclaims responsibility for identifying any such defects. contact an HVAC contractor to discuss the need for replacement.,defect,-1,,,pro,22,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC ducts: undersized,"Ducts in the attic were originally designed for heat distribution. Because cool air is denser than warm air, cool air distribution typically requires larger ducts than those designed for warm air only. Some parts of the home may not cool sufficiently, or may take longer to reach the desired cool temperature.",defect,-1,,,pro,23,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC platform: furnace disconnect more than 6',"The electrical disconnect for the furnace in the attic was located too far from the furnace. Modern safety standards require the electrical disconnect for an attic-mounted furnace to be located within 6 feet of the furnace. For safety reasons, correction should be made by a qualified contractor.",defect,0,,,hvac,24,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC platform: light, none","HVAC equipment was located on a platform in the attic, but no light was provided. This increases the chances of accident, injury or damage during times when access to the equipment is needed. A means of illumination should be installed by a qualified contractor.",defect,0,,,pro,25,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC","HVAC platform: light/walkway, none","Although home mechanical system (HVAC or water heater) equipment was installed in the attic, no lights or walkway were installed to provide service access to this equipment. This condition is potentially hazardous to those who must service this equipment. A permanent light source should be installed and a walkway that complies with current safety standards should be installed by a qualified contractor.",defect,0,,,pro,26,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC platform: no walkway or lights,"Although home HVAC system equipment was installed in the attic, no lights or access walkway were installed. This condition is potentially hazardous to those who must service this equipment. A walkway and lighting that comply with modern safety standards should be installed by a qualified contractor.",defect,0,,,pro,27,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC platform: outlet  more than 25',The electrical receptacle for the furnace in the attic was located too far from the furnace. Modern safety standards require that furnaces installed in attics have electrical receptacles installed within 25 feet. An electrical receptacle should be installed within 25 feet of the platform by a qualified contractor.,defect,0,,,pro,28,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",HVAC platform: platform size inadequate,The maintenance platform was of inadequate size for good service access. Generally-accepted modern safety standards require that a level service space at least 30 inches (762 mm) deep and 30 inches (762 mm) wide be present along all sides of the appliance where access is required. The platform should be extended to comply with safety standards by a qualified contractor.,defect,0,,,pro,29,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,Thermal Insulation,Install additional insulation (to modern requirements),Installing additional insulation to bring ceiling insulation levels in the home current with modern recommendations will help save on heating and cooling costs.,defect,0,,,pro,9,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,Thermal Insulation,Insulation Average Depth,,info,,"Less than 3 inches, 3-6 inches, 7-10 inches, 11-16 inches, 17-20 inches, Over 20 inches, 12-18 inches",,pro,0,checkbox,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:33
Attic,Thermal Insulation,Insulation levels inadequate (modern stds),"Thermal insulation installed to limit heat gain and loss in the living space did not appear to meet widely-accepted modern standards. To reduce energy consumption and heating/cooling costs, additional thermal insulation should be added to meet modern standards. A qualified insulation contractor should be able to advise you capably.",defect,0,,,insulation,10,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,Thermal Insulation,"Missing, large areas","The attic was missing insulation over areas of significant size. This condition will result in increased heating and cooling costs, reduced comfort levels and may contribute to ice damming of the roof during the winter. Insulation be properly distributed to cover all portions of the attic located above the home living space.",defect,0,,,insulation,11,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Plumbing:  pipes poorly supported,Plumbing pipes in the attic were poorly supported. Additional supports should be installed by a qualified contractor.,defect,0,,,plumber,33,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Plumbing: DWV connections improper,"Plumbing vent pipes for the drain, vent and waste (DVW) system had improper connections in the attic. The Inspector recommends correction by a qualified plumbing contractor.",defect,0,,,plumber,30,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Plumbing: DWV vent pipes inadequate slope,Plumbing vent pipes visible in the attic had inadequate slope. All corrections should be made by a qualified contractor.,defect,0,,,plumber,31,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
Attic,"Attic Electrical, Plumbing and HVAC",Plumbing: DWV vents terminate in attic,"Plumbing vent pipes for the drain, vent and waste (DVW) system terminated in the attic at the time of the inspection. This condition is improper, and may allow sewer gas to enter the living space. Vent pipes should terminate at the home exterior. This condition should be corrected by a qualified plumbing contractor.",defect,0,,,plumber,32,boolean,,,,,10,1000,,,,0,,,,,,,,,,,,,,,,,,,,,01/21/2025 12:20:34
